category;description;prompt_used;domain;reason;speed_sec;input_tokens;output_tokens;relevance;brandability
clear/specific;A local business selling handmade cups, plates, and incense. Committed to sustainability and ethical practices.;prompt_B;SustainArt;Abstract/Blended: A blend of sustainability and artistic expression.;2.0;711;119;3;4
clear/specific;A local business selling handmade cups, plates, and incense. Committed to sustainability and ethical practices.;prompt_B;MellowCups;Phonosemantics: Soft vowels evoke warmth and a calming feel.;2.0;711;119;4;5
clear/specific;A local business selling handmade cups, plates, and incense. Committed to sustainability and ethical practices.;prompt_B;CraftedEarth;Compound: Combines 'crafted' for handmade and 'earth' for sustainability.;2.0;711;119;5;4
clear/specific;A local business selling handmade cups, plates, and incense. Committed to sustainability and ethical practices.;prompt_B;EcoCeramics;Evocative: Highlights sustainability and craftsmanship.;2.0;711;119;5;2
clear/specific;A local business selling handmade cups, plates, and incense. Committed to sustainability and ethical practices.;prompt_B;GreenPorcelain;Outcome-Centric: Emphasizes eco-friendly materials and elegant design.;2.0;711;119;5;3
clear/specific;A mobile app development company building iOS and Android apps for small businesses.;prompt_B;AppSprout;Evocative: Suggests growth and development, ideal for small businesses.;2.0;706;129;5;5
clear/specific;A mobile app development company building iOS and Android apps for small businesses.;prompt_B;SwiftDev;Outcome-Centric: Conveys speed and efficiency in app development.;2.0;706;129;4;3
clear/specific;A mobile app development company building iOS and Android apps for small businesses.;prompt_B;BizFolio;Compound: Merges business and portfolio, indicating a range of app offerings.;2.0;706;129;4;5
clear/specific;A mobile app development company building iOS and Android apps for small businesses.;prompt_B;Craftify;Abstract: Evokes craftsmanship in app development, appealing to creative small businesses.;2.0;706;129;3;3
clear/specific;A mobile app development company building iOS and Android apps for small businesses.;prompt_B;MobileNest;Oxymoronic: Combines 'mobile' and 'nest', suggesting a home for apps while being accessible.;2.0;706;129;4;2
clear/specific;A professional residential cleaning service specializing in weekly deep-cleans and move-out sanitization.;prompt_B;PureAbode;Abstract/Blended - A unique sound that evoked cleanliness and home.;3.0;708;120;4;4
clear/specific;A professional residential cleaning service specializing in weekly deep-cleans and move-out sanitization.;prompt_B;FreshDwell;Compound - Suggests a refreshed living environment.;3.0;708;120;4;5
clear/specific;A professional residential cleaning service specializing in weekly deep-cleans and move-out sanitization.;prompt_B;PristinePad;Evocative - Conveys an image of a spotless space.;3.0;708;120;4;4
clear/specific;A professional residential cleaning service specializing in weekly deep-cleans and move-out sanitization.;prompt_B;SanitiHome;Compound - Combines 'sanitize' and 'home' to emphasize cleanliness and comfort.;3.0;708;120;5;4
clear/specific;A professional residential cleaning service specializing in weekly deep-cleans and move-out sanitization.;prompt_B;CleanNest;Evocative - Captures the feeling of a fresh and tidy home.;3.0;708;120;5;3
clear/specific;Family-owned bakery specializing in fresh sourdough bread and pastries made daily from organic ingredients;prompt_B;ArtisanCrust;Evocative, highlights craftsmanship and quality.;3.0;708;101;4;4
clear/specific;Family-owned bakery specializing in fresh sourdough bread and pastries made daily from organic ingredients;prompt_B;OrganicRise;Abstract, captures the essence of organic growth and bread rising.;3.0;708;101;4;5
clear/specific;Family-owned bakery specializing in fresh sourdough bread and pastries made daily from organic ingredients;prompt_B;HarvestLoaf;Evocative, suggesting fresh and organic produce.;3.0;708;101;5;5
clear/specific;Family-owned bakery specializing in fresh sourdough bread and pastries made daily from organic ingredients;prompt_B;PureSourdough;Outcome-centric, emphasizes the purity of ingredients.;3.0;708;101;5;2
clear/specific;Family-owned bakery specializing in fresh sourdough bread and pastries made daily from organic ingredients;prompt_B;DailyDough;Compound, connotes freshness and daily preparation.;3.0;708;101;5;2
local;" An authentic Turkish lunch place offering homemade sarma, dolma, and kısır. Provides ""gün"" style meals. Based in Dainava, Kaunas.";prompt_B;TurkishEden;Evocative and abstract name that suggests a paradise of Turkish flavors and home-cooked meals.;3.0;726;155;2;4
local;" An authentic Turkish lunch place offering homemade sarma, dolma, and kısır. Provides ""gün"" style meals. Based in Dainava, Kaunas.";prompt_B;DolmaNest;Oxymoronic name suggesting comfort ('nest') while focusing on a beloved traditional dish.;3.0;726;155;4;4
local;" An authentic Turkish lunch place offering homemade sarma, dolma, and kısır. Provides ""gün"" style meals. Based in Dainava, Kaunas.";prompt_B;KisırHaus;Blended name using 'kısır' with 'haus' to evoke a homey, authentic feel.;3.0;726;155;4;5
local;" An authentic Turkish lunch place offering homemade sarma, dolma, and kısır. Provides ""gün"" style meals. Based in Dainava, Kaunas.";prompt_B;SarmaDelight;Compound name combining 'sarma' with 'delight', highlighting a key dish in a positive light.;3.0;726;155;4;3
local;" An authentic Turkish lunch place offering homemade sarma, dolma, and kısır. Provides ""gün"" style meals. Based in Dainava, Kaunas.";prompt_B;TasteGün;Evocative name that captures the essence of 'gün' style meals, emphasizing the authentic taste.;3.0;726;155;5;5
local;A family-run barbecue pit located in the heart of downtown Austin, serving authentic Texas-style smoked brisket.;prompt_B;SmokeCraft;Abstract/Blended: Suggests skillful, artisanal barbecue with a focus on smoky flavors.;3.0;712;133;3;3
local;A family-run barbecue pit located in the heart of downtown Austin, serving authentic Texas-style smoked brisket.;prompt_B;BarbecueNest;Evocative: Captures a homely, welcoming atmosphere for family and diners alike.;3.0;712;133;4;2
local;A family-run barbecue pit located in the heart of downtown Austin, serving authentic Texas-style smoked brisket.;prompt_B;SavorySmoke;Evocative: Emphasizes the rich flavors and aromas of smoked barbecue.;3.0;712;133;4;3
local;A family-run barbecue pit located in the heart of downtown Austin, serving authentic Texas-style smoked brisket.;prompt_B;TexasPit;Compound: Combines Texas pride with the traditional grilling style.;3.0;712;133;3;4
local;A family-run barbecue pit located in the heart of downtown Austin, serving authentic Texas-style smoked brisket.;prompt_B;BrisketHaven;Evocative: Conveys a sense of warmth and specialty in brisket.;3.0;712;133;4;4
local;A family-run pizzeria in Naples using century-old recipes and locally milled flour.;prompt_B;CentoSapore;Abstract blend meaning 'Century Flavor' in Italian, conveying tradition.;2.0;708;112;5;5
local;A family-run pizzeria in Naples using century-old recipes and locally milled flour.;prompt_B;RusticoPizza;Conveys an artisan feel and connection to old-world techniques.;2.0;708;112;3;4
local;A family-run pizzeria in Naples using century-old recipes and locally milled flour.;prompt_B;FlourLegacy;Emphasizes the use of locally milled flour and history.;2.0;708;112;3;3
local;A family-run pizzeria in Naples using century-old recipes and locally milled flour.;prompt_B;NapoliCrust;Combines local identity with a focus on quality crust.;2.0;708;112;5;4
local;A family-run pizzeria in Naples using century-old recipes and locally milled flour.;prompt_B;HeritagePies;Evocative of tradition and family recipes.;2.0;708;112;3;2
local;Traditional izakaya serving Hokkaido-style grilled fish near Shibuya Crossing in Tokyo;prompt_B;GrilledJoy;"Outcome-centric; emphasizes the delight of the dining experience.";2.0;709;124;1;1
local;Traditional izakaya serving Hokkaido-style grilled fish near Shibuya Crossing in Tokyo;prompt_B;IzakayaHaven;"Compound; blends the concept of izakaya with a feeling of comfort.";2.0;709;124;4;3
local;Traditional izakaya serving Hokkaido-style grilled fish near Shibuya Crossing in Tokyo;prompt_B;SizzleHokkaido;"Phonosemantics; evokes grilling with a catchy sound.";2.0;709;124;4;4
local;Traditional izakaya serving Hokkaido-style grilled fish near Shibuya Crossing in Tokyo;prompt_B;ShibuyaFishHouse;"Evocative; combines the location with the specialty.";2.0;709;124;5;3
local;Traditional izakaya serving Hokkaido-style grilled fish near Shibuya Crossing in Tokyo;prompt_B;HokkaidoGrill;"Outcome-centric; focuses on the unique regional offering.";2.0;709;124;5;3
mixed language;A fashion boutique offering haute couture dresses con detalles inspirados en la cultura mexicana.;prompt_B;EstiloMístico;Evocative - Suggests a mystical style that ties back to rich cultural heritage.;3.0;707;165;5;5
mixed language;A fashion boutique offering haute couture dresses con detalles inspirados en la cultura mexicana.;prompt_B;RitmoRobe;Oxymoronic - Combines 'Ritmo' (rhythm) and 'Robe' (dress) to express the dynamic nature of the designs.;3.0;707;165;4;4
mixed language;A fashion boutique offering haute couture dresses con detalles inspirados en la cultura mexicana.;prompt_B;CulturaChic;Compound - Combines 'Culture' and 'Chic' to reflect stylish cultural elements.;3.0;707;165;3;3
mixed language;A fashion boutique offering haute couture dresses con detalles inspirados en la cultura mexicana.;prompt_B;VivaModa;Abstract/Blended - 'Viva' evokes vibrant culture while 'Moda' means fashion.;3.0;707;165;3;2
mixed language;A fashion boutique offering haute couture dresses con detalles inspirados en la cultura mexicana.;prompt_B;MexiCouture;Evocative - Blends 'Mexican' with 'Couture' to highlight cultural inspiration.;3.0;707;165;5;2
mixed language;A yoga studio that offers pranayama exercises paired with deep rest using Yoga Nidra techniques.;prompt_B;BreatheDeeply;Outcome-Centric: Directly conveys the benefit of deep breathing exercises.;2.0;710;132;3;2
mixed language;A yoga studio that offers pranayama exercises paired with deep rest using Yoga Nidra techniques.;prompt_B;PranaSerenity;Abstract/Blended: Captures the core elements of breath and calm.;2.0;710;132;4;3
mixed language;A yoga studio that offers pranayama exercises paired with deep rest using Yoga Nidra techniques.;prompt_B;NidraFlow;Compound: Combines Yoga Nidra with a sense of movement and ease.;2.0;710;132;3;4
mixed language;A yoga studio that offers pranayama exercises paired with deep rest using Yoga Nidra techniques.;prompt_B;TranquilNest;Evocative: Suggests a serene and safe space for relaxation.;2.0;710;132;5;4
mixed language;A yoga studio that offers pranayama exercises paired with deep rest using Yoga Nidra techniques.;prompt_B;RestfulBreathe;Evocative: Captures the essence of breath and relaxation.;2.0;710;132;4;4
mixed language;An upscale ristorante offering handmade tagliatelle and aperitivo pairings in a modern piazza setting.;prompt_B;TagliatelleNest;Compound: Combines 'Tagliatelle' with 'Nest' suggesting a warm, welcoming place to enjoy authentic handmade pasta.;4.0;713;199;4;2
mixed language;An upscale ristorante offering handmade tagliatelle and aperitivo pairings in a modern piazza setting.;prompt_B;CucinaEssenza;Abstract/Blended: 'Cucina' (kitchen) paired with 'Essenza' (essence) reflects the essence of Italian cuisine in a refined setting.;4.0;713;199;5;4
mixed language;An upscale ristorante offering handmade tagliatelle and aperitivo pairings in a modern piazza setting.;prompt_B;PiazzaLuxe;Evocative: Merging 'Piazza' with 'Luxe' evokes an upscale atmosphere in a beautiful Italian square.;4.0;713;199;3;2
mixed language;An upscale ristorante offering handmade tagliatelle and aperitivo pairings in a modern piazza setting.;prompt_B;AperitivoNook;Compound: Merging 'Aperitivo' with 'Nook' creates a cozy, upscale vibe implying a special spot to enjoy appetizers.;4.0;713;199;5;4
mixed language;An upscale ristorante offering handmade tagliatelle and aperitivo pairings in a modern piazza setting.;prompt_B;PastaVista;Evocative: Combining 'Pasta' with 'Vista' evokes an image of enjoying handmade pasta with a beautiful view.;4.0;713;199;5;3
mixed language;Boutique café offering specialty coffee and authentic pain au chocolat in a cozy ambiente;prompt_B;WarmBite;Abstract/Blended: Communicates warmth and delicious pastries in a catchy way.;3.0;706;147;1;2
mixed language;Boutique café offering specialty coffee and authentic pain au chocolat in a cozy ambiente;prompt_B;CafeCozy;Phonosemantics: Soft vowels convey warmth and comfort in a café setting.;3.0;706;147;4;1
mixed language;Boutique café offering specialty coffee and authentic pain au chocolat in a cozy ambiente;prompt_B;BrewNook;Compound: Merges 'brew' and 'nook,' suggesting a cozy place for coffee.;3.0;706;147;3;3
mixed language;Boutique café offering specialty coffee and authentic pain au chocolat in a cozy ambiente;prompt_B;ChocoNest;Evocative: Combines 'chocolate' and 'nest' to evoke comfort and deliciousness.;3.0;706;147;3;2
mixed language;Boutique café offering specialty coffee and authentic pain au chocolat in a cozy ambiente;prompt_B;ChocoHaven;Evocative: Suggests a safe space filled with chocolate delights, creating a feeling of indulgence.;3.0;706;147;3;2
niche/technical;A biotech firm specializing in CRISPR gene-editing therapies for rare hereditary diseases.;prompt_B;VitalGen;Evocative, suggests life ('Vital') and genetics, emphasizing the health-focused mission.;2.0;708;152;3;3
niche/technical;A biotech firm specializing in CRISPR gene-editing therapies for rare hereditary diseases.;prompt_B;HeirGene;Oxymoronic, plays on 'Heir' for hereditary and 'Gene,' bridging legacy and innovation.;2.0;708;152;3;4
niche/technical;A biotech firm specializing in CRISPR gene-editing therapies for rare hereditary diseases.;prompt_B;CRISPRMend;Compound, combines 'CRISPR' with 'Mend' to convey the healing aspect of gene therapy.;2.0;708;152;5;4
niche/technical;A biotech firm specializing in CRISPR gene-editing therapies for rare hereditary diseases.;prompt_B;Editis;Abstract/Blended, a unique and memorable name derived from 'edit' signifying gene editing.;2.0;708;152;5;5
niche/technical;A biotech firm specializing in CRISPR gene-editing therapies for rare hereditary diseases.;prompt_B;GeneCraft;Evocative, combines 'Gene' with 'Craft' implying expertise and precision in gene editing.;2.0;708;152;5;4
niche/technical;AI-driven customer support intelligence that applies NLP sentiment analysis intent classification and prioritization to inbound emails so teams can respond more efficiently.;prompt_B;EmailWise;Compound, combining email and intelligence for clarity and utility.;1.0;716;104;4;3
niche/technical;AI-driven customer support intelligence that applies NLP sentiment analysis intent classification and prioritization to inbound emails so teams can respond more efficiently.;prompt_B;SwiftSupport;Outcome-focused, emphasizing speed and efficiency.;1.0;716;104;5;2
niche/technical;AI-driven customer support intelligence that applies NLP sentiment analysis intent classification and prioritization to inbound emails so teams can respond more efficiently.;prompt_B;SentimentSync;Evocative, hinting at the harmony between customer sentiment and support.;1.0;716;104;3;3
niche/technical;AI-driven customer support intelligence that applies NLP sentiment analysis intent classification and prioritization to inbound emails so teams can respond more efficiently.;prompt_B;CleverReply;Evocative, suggesting smart responses for enhanced customer interaction.;1.0;716;104;4;4
niche/technical;AI-driven customer support intelligence that applies NLP sentiment analysis intent classification and prioritization to inbound emails so teams can respond more efficiently.;prompt_B;InstaInsight;Abstract, conveying instant intelligence from customer interactions.;1.0;716;104;4;5
niche/technical;B2B SaaS platform providing real-time ETL pipelines for enterprise data warehousing with Kubernetes orchestration;prompt_B;FluxOrchestrate;Phonosemantics: Suggests smoothness and control in data flow and orchestration.;3.0;712;129;4;3
niche/technical;B2B SaaS platform providing real-time ETL pipelines for enterprise data warehousing with Kubernetes orchestration;prompt_B;DataStreamline;Evocative: Conveys the concept of efficient data flow.;3.0;712;129;3;1
niche/technical;B2B SaaS platform providing real-time ETL pipelines for enterprise data warehousing with Kubernetes orchestration;prompt_B;KubeSync;Compound: Combines 'Kubernetes' and 'sync', highlighting orchestration.;3.0;712;129;3;5
niche/technical;B2B SaaS platform providing real-time ETL pipelines for enterprise data warehousing with Kubernetes orchestration;prompt_B;PipelineX;Abstract/Blended: A modern twist on 'pipeline', indicating innovation.;3.0;712;129;4;5
niche/technical;B2B SaaS platform providing real-time ETL pipelines for enterprise data warehousing with Kubernetes orchestration;prompt_B;RealTimeETL;Outcome-Centric: Directly communicates the core capability of the platform.;3.0;712;129;5;1
niche/technical;Providing field-programmable gate array (FPGA) acceleration services for high-frequency algorithmic trading platforms.;prompt_B;ApexFPGA;Compound - Combines 'Apex' for peak performance with 'FPGA' for technicality.;3.0;712;141;3;3
niche/technical;Providing field-programmable gate array (FPGA) acceleration services for high-frequency algorithmic trading platforms.;prompt_B;AlgoBoost;Evocative - Suggests enhancing algorithmic trading performance.;3.0;712;141;5;5
niche/technical;Providing field-programmable gate array (FPGA) acceleration services for high-frequency algorithmic trading platforms.;prompt_B;SpeedArray;Abstract/Blended - Merges 'Speed' with 'Array' (from FPGA) for an innovative sound.;3.0;712;141;3;3
niche/technical;Providing field-programmable gate array (FPGA) acceleration services for high-frequency algorithmic trading platforms.;prompt_B;TradePulse;Evocative - Conveys a sense of speed and market activity.;3.0;712;141;5;5
niche/technical;Providing field-programmable gate array (FPGA) acceleration services for high-frequency algorithmic trading platforms.;prompt_B;QuickTradeFPGA;Oxymoronic - Bridging the concept of speed in trading with the advanced technology of FPGAs.;3.0;712;141;4;1
