category;description;prompt_used;domain;reason;speed_sec;input_tokens;output_tokens;relevance;brandability
ambiguous;Exclusive affordable luxury tax consulting and used car tire sales with no-strings-attached lifetime commitments.;prompt_A;AffordableLuxTax;Highlights affordability in luxury tax consulting.;2.0;137;106;1;1
ambiguous;Exclusive affordable luxury tax consulting and used car tire sales with no-strings-attached lifetime commitments.;prompt_A;LuxuryTireTax;Combines luxury and tire sales with tax consulting.;2.0;137;106;1;1
ambiguous;High-end budget fashion and luxury electronics with occasional catering services;prompt_A;AffordableGlamourHub;Focuses on affordable luxury in fashion and electronics.;3.0;129;115;5;4
ambiguous;High-end budget fashion and luxury electronics with occasional catering services;prompt_A;TrendyLuxurySolutions;Emphasizes trendy solutions in both fashion and electronics.;3.0;129;115;1;1
ambiguous;High-end budget fashion and luxury electronics with occasional catering services;prompt_A;LuxuryBudgetStyle;Combines luxury fashion with budget-friendly appeal.;3.0;129;115;1;1
ambiguous;High-end budget fashion and luxury electronics with occasional catering services;prompt_A;ChicElectronicsAndMore;Highlights chic products in electronics and other luxury offerings.;3.0;129;115;5;4
ambiguous;High-end budget fashion and luxury electronics with occasional catering services;prompt_A;EliteCateringAndTrends;Captures the essence of catering alongside fashion trends.;3.0;129;115;2;1
clear/specific;A local business selling handmade cups, plates, and incense. Committed to sustainability and ethical practices.;prompt_A;EthicalEarthenware;Focuses on ethical practices in the creation of earthenware products.;2.0;138;120;5;5
clear/specific;A local business selling handmade cups, plates, and incense. Committed to sustainability and ethical practices.;prompt_A;HandmadeHarmony;Conveys a sense of balance and tranquility, suitable for incense and ceramics.;2.0;138;120;4;3
clear/specific;A local business selling handmade cups, plates, and incense. Committed to sustainability and ethical practices.;prompt_A;SustainableArtisanware;Highlights sustainability and artisanal quality.;2.0;138;120;3;2
clear/specific;A local business selling handmade cups, plates, and incense. Committed to sustainability and ethical practices.;prompt_A;EcoCraftedCeramics;Emphasizes both eco-friendliness and handcrafted elements.;2.0;138;120;5;3
clear/specific;A local business selling handmade cups, plates, and incense. Committed to sustainability and ethical practices.;prompt_A;NatureInspiredCeramics;Reflects the natural inspiration behind handmade items.;2.0;138;120;5;3
clear/specific;A mobile app development company building iOS and Android apps for small businesses.;prompt_A;SmallBizApps;Directly reflects the target audience (small businesses) and the nature of the service (apps).;2.0;133;126;5;5
clear/specific;A mobile app development company building iOS and Android apps for small businesses.;prompt_A;AppDevSolutions;Highlights the application development aspect and solutions-oriented approach.;2.0;133;126;3;1
clear/specific;A mobile app development company building iOS and Android apps for small businesses.;prompt_A;MobileBizBuilders;Conveys the idea of helping small businesses through mobile technology.;2.0;133;126;5;1
clear/specific;A mobile app development company building iOS and Android apps for small businesses.;prompt_A;iOSAndroidCreators;Specifically mentions the platforms for clarity and a focus on development.;2.0;133;126;3;1
clear/specific;A mobile app development company building iOS and Android apps for small businesses.;prompt_A;SwiftSmallApps;Combines the notion of fast development (swift) with small business applications.;2.0;133;126;3;3
clear/specific;A professional residential cleaning service specializing in weekly deep-cleans and move-out sanitization.;prompt_A;TotalResidentialClean;Conveys a comprehensive cleaning service for residences.;2.0;135;101;5;4
clear/specific;A professional residential cleaning service specializing in weekly deep-cleans and move-out sanitization.;prompt_A;ExpertHomeSanitation;Reflects expertise in home sanitation.;2.0;135;101;5;3
clear/specific;A professional residential cleaning service specializing in weekly deep-cleans and move-out sanitization.;prompt_A;WeeklyCleanPros;Emphasizes the weekly service that is professional.;2.0;135;101;3;2
clear/specific;A professional residential cleaning service specializing in weekly deep-cleans and move-out sanitization.;prompt_A;SanitizeMoveOut;Focuses on move-out sanitization services.;2.0;135;101;3;2
clear/specific;A professional residential cleaning service specializing in weekly deep-cleans and move-out sanitization.;prompt_A;DeepCleanHomes;Highlights the deep cleaning aspect for homes.;2.0;135;101;5;2
clear/specific;Family-owned bakery specializing in fresh sourdough bread and pastries made daily from organic ingredients;prompt_A;ArtisanBreadPastries;Conveys the artisanal quality of the bread and pastries.;5.0;135;126;4;4
clear/specific;Family-owned bakery specializing in fresh sourdough bread and pastries made daily from organic ingredients;prompt_A;SourdoughBakeryEssentials;Focuses on the essential sourdough offerings of the bakery.;5.0;135;126;2;1
clear/specific;Family-owned bakery specializing in fresh sourdough bread and pastries made daily from organic ingredients;prompt_A;OrganicSourdoughDelights;Highlights the organic ingredients and the focus on sourdough.;5.0;135;126;3;3
clear/specific;Family-owned bakery specializing in fresh sourdough bread and pastries made daily from organic ingredients;prompt_A;DailyFreshBakery;Emphasizes the daily freshness of the baked goods.;5.0;135;126;5;3
clear/specific;Family-owned bakery specializing in fresh sourdough bread and pastries made daily from organic ingredients;prompt_A;FamilyBakeryCreations;Reflects the family-owned aspect of the bakery.;5.0;135;126;4;1
local;" An authentic Turkish lunch place offering homemade sarma, dolma, and kısır. Provides ""gün"" style meals. Based in Dainava, Kaunas.";prompt_A;SarmaDolmaDainava;Directly references the main dishes offered, making it clear what the restaurant specializes in.;3.0;153;152;4;5
local;" An authentic Turkish lunch place offering homemade sarma, dolma, and kısır. Provides ""gün"" style meals. Based in Dainava, Kaunas.";prompt_A;DainavaTurkMutfagi;Translates to 'Turkish Kitchen of Dainava' in Turkish, enhancing authenticity.;3.0;153;152;5;4
local;" An authentic Turkish lunch place offering homemade sarma, dolma, and kısır. Provides ""gün"" style meals. Based in Dainava, Kaunas.";prompt_A;GourmetTurkishLunch;Emphasizes the homemade and gourmet aspect of the meals.;3.0;153;152;4;1
local;" An authentic Turkish lunch place offering homemade sarma, dolma, and kısır. Provides ""gün"" style meals. Based in Dainava, Kaunas.";prompt_A;KisyramaKaunas;Combines kısır and sarma in a catchy name, focused on the local area.;3.0;153;152;5;5
local;" An authentic Turkish lunch place offering homemade sarma, dolma, and kısır. Provides ""gün"" style meals. Based in Dainava, Kaunas.";prompt_A;TurkishGourmetDainava;Highlights the authenticity of Turkish cuisine and the location.;3.0;153;152;3;1
local;A family-run barbecue pit located in the heart of downtown Austin, serving authentic Texas-style smoked brisket.;prompt_A;DowntownAustinBBQ;Emphasizes the location and barbecue offerings.;3.0;139;112;5;4
local;A family-run barbecue pit located in the heart of downtown Austin, serving authentic Texas-style smoked brisket.;prompt_A;AustinBBQExperience;Suggests a unique and memorable barbecue dining experience.;3.0;139;112;3;3
local;A family-run barbecue pit located in the heart of downtown Austin, serving authentic Texas-style smoked brisket.;prompt_A;AuthenticBrisketTX;Focuses on the authenticity of the brisket.;3.0;139;112;4;3
local;A family-run barbecue pit located in the heart of downtown Austin, serving authentic Texas-style smoked brisket.;prompt_A;FamilySmokehouseAustin;Conveys the family-run aspect and smokehouse theme.;3.0;139;112;5;2
local;A family-run barbecue pit located in the heart of downtown Austin, serving authentic Texas-style smoked brisket.;prompt_A;TexasPitBrisket;Highlights the Texas-style barbecue focus.;3.0;139;112;4;3
local;A family-run pizzeria in Naples using century-old recipes and locally milled flour.;prompt_A;AuthenticNaplesPizza;Stresses the authenticity of the Naples-style pizza.;2.0;135;119;5;3
local;A family-run pizzeria in Naples using century-old recipes and locally milled flour.;prompt_A;FamilyTraditionPizza;Conveys the family-run nature of the pizzeria.;2.0;135;119;5;3
local;A family-run pizzeria in Naples using century-old recipes and locally milled flour.;prompt_A;LocalFlourPizzeria;Focuses on the locally milled flour used in the pizza.;2.0;135;119;3;2
local;A family-run pizzeria in Naples using century-old recipes and locally milled flour.;prompt_A;CenturyOldPizzeria;Emphasizes the use of century-old recipes.;2.0;135;119;4;3
local;A family-run pizzeria in Naples using century-old recipes and locally milled flour.;prompt_A;NaplesHeritagePizza;Highlights the location and the traditional aspect of the recipes.;2.0;135;119;5;4
local;Traditional izakaya serving Hokkaido-style grilled fish near Shibuya Crossing in Tokyo;prompt_A;HokkaidoEatsShibuya;Combining Hokkaido flavors with the vibrant Shibuya dining scene.;3.0;136;143;5;4
local;Traditional izakaya serving Hokkaido-style grilled fish near Shibuya Crossing in Tokyo;prompt_A;TokyoFishBistro;Blending the concept of fish cuisine with a casual dining vibe.;3.0;136;143;2;2
local;Traditional izakaya serving Hokkaido-style grilled fish near Shibuya Crossing in Tokyo;prompt_A;ShibuyaIzakaya;Emphasizing the location near Shibuya Crossing for easy recall.;3.0;136;143;5;3
local;Traditional izakaya serving Hokkaido-style grilled fish near Shibuya Crossing in Tokyo;prompt_A;GrilledFishIzakaya;Focusing on the core offering of grilled fish in an izakaya setting.;3.0;136;143;4;3
local;Traditional izakaya serving Hokkaido-style grilled fish near Shibuya Crossing in Tokyo;prompt_A;HokkaidoGrillTokyo;Highlighting the Hokkaido-style grilling aspect and location in Tokyo.;3.0;136;143;5;3
mixed language;A fashion boutique offering haute couture dresses con detalles inspirados en la cultura mexicana.;prompt_A;DressesWithDetail;Emphasizes the unique details of the dresses inspired by Mexican culture.;2.0;134;123;2;2
mixed language;A fashion boutique offering haute couture dresses con detalles inspirados en la cultura mexicana.;prompt_A;CulturaCouture;Merges cultural elements with haute couture fashion.;2.0;134;123;4;4
mixed language;A fashion boutique offering haute couture dresses con detalles inspirados en la cultura mexicana.;prompt_A;ChicMexicoBoutique;Combines chic fashion with a direct reference to Mexico.;2.0;134;123;4;1
mixed language;A fashion boutique offering haute couture dresses con detalles inspirados en la cultura mexicana.;prompt_A;VivaLaModa;Celebrates life and fashion in Spanish, connecting to the cultural theme.;2.0;134;123;4;4
mixed language;A fashion boutique offering haute couture dresses con detalles inspirados en la cultura mexicana.;prompt_A;CoutureMexicanStyle;Highlights the haute couture aspect while incorporating Mexican culture.;2.0;134;123;3;2
mixed language;A yoga studio that offers pranayama exercises paired with deep rest using Yoga Nidra techniques.;prompt_A;CalmBreathYoga;Highlights the importance of breath in yoga practice and the calming effects.;3.0;137;137;5;4
mixed language;A yoga studio that offers pranayama exercises paired with deep rest using Yoga Nidra techniques.;prompt_A;SerenityYogaNidra;Conveys a sense of peace and tranquility associated with Yoga Nidra.;3.0;137;137;3;3
mixed language;A yoga studio that offers pranayama exercises paired with deep rest using Yoga Nidra techniques.;prompt_A;DeepRestYogaStudio;Emphasizes deep rest, appealing to those seeking relaxation through yoga.;3.0;137;137;5;5
mixed language;A yoga studio that offers pranayama exercises paired with deep rest using Yoga Nidra techniques.;prompt_A;YogaNidraPranayama;Directly references the two main practices offered in the studio.;3.0;137;137;4;1
mixed language;A yoga studio that offers pranayama exercises paired with deep rest using Yoga Nidra techniques.;prompt_A;PranayamaRestYoga;Combines pranayama with rest, clearly indicating the focus on both techniques.;3.0;137;137;4;2
mixed language;An upscale ristorante offering handmade tagliatelle and aperitivo pairings in a modern piazza setting.;prompt_A;aperitivopairings;Focuses on the unique offering of aperitivo pairings.;3.0;140;118;4;2
mixed language;An upscale ristorante offering handmade tagliatelle and aperitivo pairings in a modern piazza setting.;prompt_A;tagliatelleexperience;Conveys a sense of high-quality dining experience.;3.0;140;118;4;1
mixed language;An upscale ristorante offering handmade tagliatelle and aperitivo pairings in a modern piazza setting.;prompt_A;ritzyristorante;Communicates an upscale and luxurious dining experience.;3.0;140;118;5;4
mixed language;An upscale ristorante offering handmade tagliatelle and aperitivo pairings in a modern piazza setting.;prompt_A;modernpiazzaristorante;Emphasizes the modern setting of the restaurant.;3.0;140;118;4;3
mixed language;An upscale ristorante offering handmade tagliatelle and aperitivo pairings in a modern piazza setting.;prompt_A;eleganttagliatelle;Highlights the handmade pasta with an upscale vibe.;3.0;140;118;4;3
mixed language;Boutique café offering specialty coffee and authentic pain au chocolat in a cozy ambiente;prompt_A;CharmingCaféExperience;Conveys a charming and cozy café environment.;2.0;133;120;;1
mixed language;Boutique café offering specialty coffee and authentic pain au chocolat in a cozy ambiente;prompt_A;ChocolatCaféHaven;Emphasizes the authentic pain au chocolat in a café setting.;2.0;133;120;2;2
mixed language;Boutique café offering specialty coffee and authentic pain au chocolat in a cozy ambiente;prompt_A;SpecialtyCaféDelight;Highlights the specialty coffee offerings.;2.0;133;120;2;2
mixed language;Boutique café offering specialty coffee and authentic pain au chocolat in a cozy ambiente;prompt_A;CozyCoffeeBoutique;Reflects the boutique aspect and cozy ambiance.;2.0;133;120;4;2
mixed language;Boutique café offering specialty coffee and authentic pain au chocolat in a cozy ambiente;prompt_A;BoutiqueCoffeeAndChocolat;Combines the boutique experience with coffee and pain au chocolat.;2.0;133;120;2;2
niche/technical;A biotech firm specializing in CRISPR gene-editing therapies for rare hereditary diseases.;prompt_A;HereditaryHealthTech;Addresses the health tech aspect related to hereditary conditions.;2.0;135;118;5;2
niche/technical;A biotech firm specializing in CRISPR gene-editing therapies for rare hereditary diseases.;prompt_A;BioEditTechnologies;Combines biotechnology and editing, reflecting the firm's expertise.;2.0;135;118;5;4
niche/technical;A biotech firm specializing in CRISPR gene-editing therapies for rare hereditary diseases.;prompt_A;RareGeneSolutions;Focuses on the target market of rare hereditary diseases.;2.0;135;118;3;3
niche/technical;A biotech firm specializing in CRISPR gene-editing therapies for rare hereditary diseases.;prompt_A;CRISPRInnovations;Emphasizes the innovative aspect of using CRISPR technology.;2.0;135;118;5;3
niche/technical;A biotech firm specializing in CRISPR gene-editing therapies for rare hereditary diseases.;prompt_A;GeneEditTherapies;Highlights the focus on gene editing and therapeutic applications.;2.0;135;118;5;3
niche/technical;AI-driven customer support intelligence that applies NLP sentiment analysis intent classification and prioritization to inbound emails so teams can respond more efficiently.;prompt_A;EmailIntelligenceAI;Highlights intelligence and AI in email management.;4.0;143;102;5;1
niche/technical;AI-driven customer support intelligence that applies NLP sentiment analysis intent classification and prioritization to inbound emails so teams can respond more efficiently.;prompt_A;SmartEmailAI;Combines smart technology with email processing.;4.0;143;102;5;2
niche/technical;AI-driven customer support intelligence that applies NLP sentiment analysis intent classification and prioritization to inbound emails so teams can respond more efficiently.;prompt_A;SentimentSupport;Focuses on sentiment analysis in customer support.;4.0;143;102;5;4
niche/technical;AI-driven customer support intelligence that applies NLP sentiment analysis intent classification and prioritization to inbound emails so teams can respond more efficiently.;prompt_A;NLPResponsePro;Emphasizes natural language processing for responding.;4.0;143;102;5;1
niche/technical;AI-driven customer support intelligence that applies NLP sentiment analysis intent classification and prioritization to inbound emails so teams can respond more efficiently.;prompt_A;PriorityEmailInsights;Conveys prioritization and insights in email communication.;4.0;143;102;3;2
niche/technical;B2B SaaS platform providing real-time ETL pipelines for enterprise data warehousing with Kubernetes orchestration;prompt_A;DataWareHub;Reflects a hub for enterprise data warehousing solutions.;2.0;139;117;4;
niche/technical;B2B SaaS platform providing real-time ETL pipelines for enterprise data warehousing with Kubernetes orchestration;prompt_A;KubeETLPro;Combines Kubernetes and ETL in a professional context.;2.0;139;117;3;3
niche/technical;B2B SaaS platform providing real-time ETL pipelines for enterprise data warehousing with Kubernetes orchestration;prompt_A;EnterpriseETLPipeline;Targeting enterprise clients with a focus on ETL pipelines.;2.0;139;117;3;2
niche/technical;B2B SaaS platform providing real-time ETL pipelines for enterprise data warehousing with Kubernetes orchestration;prompt_A;RealTimeDataKube;Highlights real-time data processing and Kubernetes.;2.0;139;117;4;2
niche/technical;B2B SaaS platform providing real-time ETL pipelines for enterprise data warehousing with Kubernetes orchestration;prompt_A;ETLKubernetes;Simplicity in messaging with a focus on ETL and Kubernetes.;2.0;139;117;3;2
niche/technical;Providing field-programmable gate array (FPGA) acceleration services for high-frequency algorithmic trading platforms.;prompt_A;AlgoFPGAAccel;Highlights the focus on algorithmic trading and FPGA acceleration.;1.0;139;118;2;1
niche/technical;Providing field-programmable gate array (FPGA) acceleration services for high-frequency algorithmic trading platforms.;prompt_A;HighFreqFPGA;Directly indicates high-frequency trading utilizing FPGA technology.;1.0;139;118;3;3
niche/technical;Providing field-programmable gate array (FPGA) acceleration services for high-frequency algorithmic trading platforms.;prompt_A;FastTradeFPGA;Emphasizes speed in trading through FPGA acceleration.;1.0;139;118;4;3
niche/technical;Providing field-programmable gate array (FPGA) acceleration services for high-frequency algorithmic trading platforms.;prompt_A;FPGATradingBoost;Combines FPGA and trading to imply an enhancement in trading performance.;1.0;139;118;4;2
niche/technical;Providing field-programmable gate array (FPGA) acceleration services for high-frequency algorithmic trading platforms.;prompt_A;FPGATradingPros;Positions the service as expert-level in FPGA for trading.;1.0;139;118;3;2
