category,description,prompt_used,domain,reason,speed_sec,input_tokens,output_tokens
ambiguous,"A fitness studio-café-co-working space that offers pilates classes, smoothies, and freelance workstations.",prompt_C,VitalHive,"Represents energy (Vital) and a buzzing community (Hive). Two syllables, conveys a sense of vitality and interaction, and has strong phonosemantic appeal.",5.0,844,226
ambiguous,"A fitness studio-café-co-working space that offers pilates classes, smoothies, and freelance workstations.",prompt_C,ZenWork,"Suggests a balance between tranquility (Zen from yoga) and productivity (Work). Two syllables, spells easily, and embodies a calm yet focused atmosphere.",5.0,844,226
ambiguous,"A fitness studio-café-co-working space that offers pilates classes, smoothies, and freelance workstations.",prompt_C,PilatesPace,"Evokes the combination of movement (Pilates) with a rhythmic flow (Pace). Two syllables, easy to spell, and suggests an energetic yet controlled environment.",5.0,844,226
ambiguous,High-end budget fashion and luxury electronics with occasional catering services,prompt_C,Luxilog,"Combines 'luxury' and 'log,' suggesting a record of high-end choices that are aware of budget constraints, while maintaining an air of sophistication.",3.0,834,172
ambiguous,High-end budget fashion and luxury electronics with occasional catering services,prompt_C,Trendara,"Fuses 'trend' and the suffix '-ara' which suggests elegance and allure, resonating with fashionable budgets.",3.0,834,172
ambiguous,High-end budget fashion and luxury electronics with occasional catering services,prompt_C,Opulink,"A blend of 'opulent' and 'link,' reflecting a connection to luxury fashion and electronics without sounding generic.",3.0,834,172
clear/specific,"A local business selling handmade cups, plates, and incense. Committed to sustainability and ethical practices.",prompt_C,PureAlcove,"Suggests a safe, natural space for unique handmade products; resonates with trust and comfort.",3.0,843,148
clear/specific,"A local business selling handmade cups, plates, and incense. Committed to sustainability and ethical practices.",prompt_C,CupAura,"Fuses 'Cup' with 'Aura,' conveying warmth and an inviting atmosphere; evokes emotional connection.",3.0,843,148
clear/specific,"A local business selling handmade cups, plates, and incense. Committed to sustainability and ethical practices.",prompt_C,TerraNest,Combines 'Terra' (earth) with 'Nest' to suggest home and natural materials; soft yet meaningful.,3.0,843,148
clear/specific,"A local business selling handmade cups, plates, and incense. Committed to sustainability and ethical practices.",prompt_C,EcoCrafted,Evokes sustainability and craftsmanship; suggests lovingly made items that are environmentally conscious.,3.0,843,148
clear/specific,A professional residential cleaning service specializing in weekly deep-cleans and move-out sanitization.,prompt_C,NeatSphere,"Indicates organization and cleanliness (Neat) within a home environment or space (Sphere), suggesting comprehensive service.",3.0,840,170
clear/specific,A professional residential cleaning service specializing in weekly deep-cleans and move-out sanitization.,prompt_C,FreshDwell,"Combines freshness (Fresh) with a sense of home or living space (Dwell), promoting a welcoming atmosphere.",3.0,840,170
clear/specific,A professional residential cleaning service specializing in weekly deep-cleans and move-out sanitization.,prompt_C,DustAway,"Immediate recognition of the cleaning function (Dust) combined with a sense of action (Away), conveying effectiveness and ease.",3.0,840,170
clear/specific,A professional residential cleaning service specializing in weekly deep-cleans and move-out sanitization.,prompt_C,PureHaven,"Conveys safety and purity (Pure) in the home environment (Haven), ideal for a cleaning service.",3.0,840,170
clear/specific,A professional residential cleaning service specializing in weekly deep-cleans and move-out sanitization.,prompt_C,SparkNest,"Evokes the idea of a clean, fresh home (Spark) with a cozy feeling (Nest), suggesting warmth and thorough cleaning.",3.0,840,170
clear/specific,"A local business selling handmade cups, plates, and incense. Committed to sustainability and ethical practices.",prompt_C,Kindware,"Merges 'Kind' and 'ware,' emphasizing ethical practices while being easy to say and remember.",3.0,843,148
clear/specific,Family-owned bakery specializing in fresh sourdough bread and pastries made daily from organic ingredients,prompt_C,YeastJoy,Highlights the fermentation process while focusing on the joyful aspect of baking and eating. The light sound of ‘Y’ paired with ‘Joy’ reflects warmth and happiness.,5.0,840,234
clear/specific,A mobile app development company building iOS and Android apps for small businesses.,prompt_C,AppVibe,"Evocative and playful, suggesting a positive energy and atmosphere in app development.",4.0,838,161
clear/specific,A mobile app development company building iOS and Android apps for small businesses.,prompt_C,DevSpark,"Combines 'development' with 'spark' to evoke ignition of creativity and innovation, conveying the idea of bright ideas becoming apps.",4.0,838,161
clear/specific,A mobile app development company building iOS and Android apps for small businesses.,prompt_C,BizNest,"Conveys a nurturing space for small businesses to grow their digital presence, with a cozy phonetic quality.",4.0,838,161
clear/specific,A mobile app development company building iOS and Android apps for small businesses.,prompt_C,NimbleCraft,Suggests agility and skill in app creation; the soft consonants combine with a hard consonant to balance trust and precision.,4.0,838,161
clear/specific,Family-owned bakery specializing in fresh sourdough bread and pastries made daily from organic ingredients,prompt_C,Baker’sGlow,Conveys a sense of warmth and freshness that radiates from a family-driven bakery. The ‘G’ sound gives it a solid presence while maintaining an inviting vibe.,5.0,840,234
clear/specific,Family-owned bakery specializing in fresh sourdough bread and pastries made daily from organic ingredients,prompt_C,DoughNest,"Evokes a warm and inviting space, suggesting home-baked quality and care, while the ‘N’ sound provides a sense of familiarity. The name is 2 syllables and passes the radio test.",5.0,840,234
clear/specific,Family-owned bakery specializing in fresh sourdough bread and pastries made daily from organic ingredients,prompt_C,GrainHaven,"Combines grains, the basis of bread, with haven, suggesting safety and comfort. It’s 2 syllables and has a soft yet sturdy phonetic quality.",5.0,840,234
clear/specific,Family-owned bakery specializing in fresh sourdough bread and pastries made daily from organic ingredients,prompt_C,LoafLuxe,"Marries the idea of artisan loaves with a touch of luxury. The hard ‘L’ and ‘X’ sounds convey both precision and indulgence, with a playful twist.",5.0,840,234
clear/specific,A mobile app development company building iOS and Android apps for small businesses.,prompt_C,BoostLine,"Evokes the idea of elevating a business's presence through apps; it suggests a clear, direct path to success.",4.0,838,161
local,"A family-run barbecue pit located in the heart of downtown Austin, serving authentic Texas-style smoked brisket.",prompt_C,SmokyHaven,"Suggests a warm, welcoming place for BBQ lovers, with ‘smoky’ representing the barbecue style and ‘haven’ implying comfort.",4.0,844,188
local," An authentic Turkish lunch place offering homemade sarma, dolma, and kısır. Provides ""gün"" style meals. Based in Dainava, Kaunas.",prompt_C,TasteDainava,Anchors the location while emphasizing the sensory experience of authentic Turkish cuisine.,4.0,858,154
local," An authentic Turkish lunch place offering homemade sarma, dolma, and kısır. Provides ""gün"" style meals. Based in Dainava, Kaunas.",prompt_C,DolmaSpot,"Conveys a cozy place that specializes in dolma, with 'spot' suggesting warmth and familiarity.",4.0,858,154
local," An authentic Turkish lunch place offering homemade sarma, dolma, and kısır. Provides ""gün"" style meals. Based in Dainava, Kaunas.",prompt_C,GünFlavor,"Suggests traditional 'gün' style meals, focusing on the richness of authentic flavors.",4.0,858,154
local," An authentic Turkish lunch place offering homemade sarma, dolma, and kısır. Provides ""gün"" style meals. Based in Dainava, Kaunas.",prompt_C,KısırNest,"Blends 'kısır' with 'nest' to evoke a warm, homey atmosphere where authentic meals come together.",4.0,858,154
local," An authentic Turkish lunch place offering homemade sarma, dolma, and kısır. Provides ""gün"" style meals. Based in Dainava, Kaunas.",prompt_C,Sarmaya,"Combines 'sarma' with a suffix that implies a place, creating an evocative name representing the core offering.",4.0,858,154
local,"A family-run barbecue pit located in the heart of downtown Austin, serving authentic Texas-style smoked brisket.",prompt_C,FlavorNest,"Suggests a cozy place for rich flavors and warmth, with ‘nest’ creating a sense of home-like comfort in enjoying great BBQ.",4.0,844,188
local,"A family-run barbecue pit located in the heart of downtown Austin, serving authentic Texas-style smoked brisket.",prompt_C,TexasEmber,"Combines the state identity with ‘ember’, suggesting warmth and the essence of smoking meat, creating a strong and inviting vibe.",4.0,844,188
local,"A family-run barbecue pit located in the heart of downtown Austin, serving authentic Texas-style smoked brisket.",prompt_C,PitCrafted,"Conveys craftsmanship in barbecue, using ‘pit’ to tie directly to the cooking method, while ‘crafted’ implies quality and attention to detail.",4.0,844,188
local,"A family-run barbecue pit located in the heart of downtown Austin, serving authentic Texas-style smoked brisket.",prompt_C,BrisketHeart,"Evokes a central focus on brisket, tying it to the heart of Austin, enhancing emotional resonance.",4.0,844,188
local,Traditional izakaya serving Hokkaido-style grilled fish near Shibuya Crossing in Tokyo,prompt_C,SakanaMori,"Combines 'Sakana' (fish) with 'Mori' (forest), conjuring images of freshness and a natural setting.",4.0,841,182
local,Traditional izakaya serving Hokkaido-style grilled fish near Shibuya Crossing in Tokyo,prompt_C,YūreiGrill,"'Yūrei' means spirit in Japanese, creating an ethereal vibe around grilled fish while hinting at tradition.",4.0,841,182
local,Traditional izakaya serving Hokkaido-style grilled fish near Shibuya Crossing in Tokyo,prompt_C,HokkaidoBites,"Highlights Hokkaido style with 'Bites', suggesting a unique taste experience and local authenticity.",4.0,841,182
local,Traditional izakaya serving Hokkaido-style grilled fish near Shibuya Crossing in Tokyo,prompt_C,KaitoGrill,"Merges 'Kaito' (ocean) and 'Grill', indicating a seafood focus while maintaining a modern twist.",4.0,841,182
local,Traditional izakaya serving Hokkaido-style grilled fish near Shibuya Crossing in Tokyo,prompt_C,FukuFish,"Combines 'Fuku' (blessing) with 'Fish', evoking both the joy of eating and cultural significance.",4.0,841,182
local,A family-run pizzeria in Naples using century-old recipes and locally milled flour.,prompt_C,Saporito,"Derived from 'sapor' meaning taste/flavor in Latin, it articulates the idea of delightful taste experiences. The name has a soft touch with an Italian flair, ensuring it feels inviting and aligns with the authentic Italian tradition.",8.0,840,372
local,A family-run pizzeria in Naples using century-old recipes and locally milled flour.,prompt_C,FornoArt,"'Forno' means 'oven' in Italian, paired with 'Art,' it conveys craft in pizza-making. Hard sounds like 'F' give a sense of authority, while the 2-syllable structure is catchy and easy to remember.",8.0,840,372
local,A family-run pizzeria in Naples using century-old recipes and locally milled flour.,prompt_C,PaneVero,"Combines 'Pane' (bread in Italian, central to the product) and 'Vero' (meaning 'true' or 'authentic'). The name evokes warmth and authenticity, and it adheres to the 2-syllable preference while emphasizing trusted qualities.",8.0,840,372
local,A family-run pizzeria in Naples using century-old recipes and locally milled flour.,prompt_C,ViolaCrust,"Using 'Viola' (meaning 'violet' in Italian, also a musical term for harmony) and 'Crust' (evoking the essential element of pizza). It balances soft and hard sounds, communicates an artistic essence, and encourages users to 'Viola it.' 3 syllables.",8.0,840,372
local,A family-run pizzeria in Naples using century-old recipes and locally milled flour.,prompt_C,PastaPietra,"Combines 'Pasta' (a nod to Italian cuisine) and 'Pietra' (stone in Italian, evokes traditional stone ovens). The hard consonant 'P' conveys authority and speed, while the open vowel sounds create warmth. 2 syllables.",8.0,840,372
mixed language,An upscale ristorante offering handmade tagliatelle and aperitivo pairings in a modern piazza setting.,prompt_C,LuxTagli,"Merges 'Luxury' with a shortened form of 'Tagliatelle', emphasizing upscale dining experience.",3.0,845,193
mixed language,An upscale ristorante offering handmade tagliatelle and aperitivo pairings in a modern piazza setting.,prompt_C,CucinaVita,"Combines 'Cucina' (kitchen) and 'Vita' (life), conveying a vibrant, life-infused dining experience.",3.0,845,193
mixed language,An upscale ristorante offering handmade tagliatelle and aperitivo pairings in a modern piazza setting.,prompt_C,PiazzaForte,"Associates 'Piazza' with 'Forte' (strong in Italian), implying a bold, strong presence in the culinary scene.",3.0,845,193
mixed language,A yoga studio that offers pranayama exercises paired with deep rest using Yoga Nidra techniques.,prompt_C,SootheWave,"Fuses 'Soothe' (calming) with 'Wave', creating an inviting sense of tranquility and rhythm in yoga practice.",5.0,842,205
mixed language,A yoga studio that offers pranayama exercises paired with deep rest using Yoga Nidra techniques.,prompt_C,NidraWave,"Combines 'Nidra' (sleep) with 'Wave' (flowing), suggesting a gentle, flowing experience of deep rest and rejuvenation.",5.0,842,205
mixed language,A yoga studio that offers pranayama exercises paired with deep rest using Yoga Nidra techniques.,prompt_C,ZenFlowSpace,"Merges 'Zen' (tranquility) with 'Flow' (movement) and 'Space' (environment), emphasizing a calming and harmonious practice.",5.0,842,205
mixed language,A yoga studio that offers pranayama exercises paired with deep rest using Yoga Nidra techniques.,prompt_C,RestiveBreathe,"Plays on 'restive' (relaxed) and 'breathe', indicating a focus on breathwork and restorative practices.",5.0,842,205
mixed language,An upscale ristorante offering handmade tagliatelle and aperitivo pairings in a modern piazza setting.,prompt_C,AperiVeil,"Fuses 'Aperitivo' and 'Veil', suggesting a sophisticated atmosphere while hinting at revealed flavors.",3.0,845,193
mixed language,A yoga studio that offers pranayama exercises paired with deep rest using Yoga Nidra techniques.,prompt_C,PranaNest,"Combines 'Prana' (life force) with 'Nest' (a place of comfort), evoking a serene environment for yoga and deep relaxation.",5.0,842,205
mixed language,An upscale ristorante offering handmade tagliatelle and aperitivo pairings in a modern piazza setting.,prompt_C,PastaMondo,"Combines 'Pasta' (a core offering) with 'Mondo' (world in Italian), evoking a sense of global culinary exploration.",3.0,845,193
mixed language,A fashion boutique offering haute couture dresses con detalles inspirados en la cultura mexicana.,prompt_C,LuzBello,"Translates to 'Beautiful Light', creating an emotional response of warmth and beauty, ideal for a fashion boutique focusing on luxe couture.",5.0,839,181
mixed language,Boutique café offering specialty coffee and authentic pain au chocolat in a cozy ambiente,prompt_C,BistroCocoon,"Utilizes a compound approach to suggest a boutique café vibe (Bistro) with a cozy feeling (Cocoon). Three syllables, retains a sense of sophistication and comfort.",5.0,838,239
mixed language,Boutique café offering specialty coffee and authentic pain au chocolat in a cozy ambiente,prompt_C,CaféAura,"Merges 'Café' with 'Aura', suggesting a unique, inviting atmosphere filled with warmth and character. Two syllables, strong phonetic appeal, passes the radio test.",5.0,838,239
mixed language,Boutique café offering specialty coffee and authentic pain au chocolat in a cozy ambiente,prompt_C,ChocoNest,"Combines 'Choco' for chocolate treats and 'Nest' which evokes warmth and comfort, perfect for a cozy café vibe. Two syllables, easy to spell, passes the radio test.",5.0,838,239
mixed language,Boutique café offering specialty coffee and authentic pain au chocolat in a cozy ambiente,prompt_C,BrewBoulevard,"Evocative name suggesting a journey and initiation into the world of specialty coffee (Brew) while also implying a luxurious experience (Boulevard). Two syllables, passes the radio test.",5.0,838,239
mixed language,A fashion boutique offering haute couture dresses con detalles inspirados en la cultura mexicana.,prompt_C,RaízChic,"'Raíz' means root, suggesting a deep connection to cultural heritage, paired with 'Chic' for elegance, creating a unique fashion identity.",5.0,839,181
mixed language,A fashion boutique offering haute couture dresses con detalles inspirados en la cultura mexicana.,prompt_C,AguacateGlam,"Utilizes the Mexican cultural emblem of the avocado, combined with glam, to suggest luxurious fashion that celebrates heritage.",5.0,839,181
mixed language,A fashion boutique offering haute couture dresses con detalles inspirados en la cultura mexicana.,prompt_C,VivaModa,"Evokes energy and life in fashion, using soft vowels to create approachability while maintaining a trendy vibe.",5.0,839,181
mixed language,A fashion boutique offering haute couture dresses con detalles inspirados en la cultura mexicana.,prompt_C,CulturaCouture,Combines elements of culture and couture for a sophisticated feel that conveys Mexican heritage through high fashion.,5.0,839,181
mixed language,Boutique café offering specialty coffee and authentic pain au chocolat in a cozy ambiente,prompt_C,VelvetSip,"Evokes luxury and richness associated with both the flavor of specialty coffee and the smoothness of pain au chocolat. Two syllables, passes the radio test.",5.0,838,239
niche/technical,Providing field-programmable gate array (FPGA) acceleration services for high-frequency algorithmic trading platforms.,prompt_C,AlgoLift,"Combines 'algorithm' with 'lift' to suggest enhancing trading algorithms, demonstrating improvement and elevation in performance.",5.0,844,170
niche/technical,Providing field-programmable gate array (FPGA) acceleration services for high-frequency algorithmic trading platforms.,prompt_C,MarketFlux,"Suggests a dynamic flow of market data, combining 'market' and 'flux' to denote constant movement and responsiveness to changes.",5.0,844,170
niche/technical,Providing field-programmable gate array (FPGA) acceleration services for high-frequency algorithmic trading platforms.,prompt_C,QuickQuant,"Merges 'quick' and 'quant' (quantitative trading), emphasizing speed in quantitative strategies; suitable for high-frequency trading.",5.0,844,170
niche/technical,AI-driven customer support intelligence that applies NLP sentiment analysis intent classification and prioritization to inbound emails so teams can respond more efficiently.,prompt_C,Clearive,"Fuses 'clear' and 'drive', conveying clarity in communication and purposeful action in response to inquiries.",3.0,848,152
niche/technical,AI-driven customer support intelligence that applies NLP sentiment analysis intent classification and prioritization to inbound emails so teams can respond more efficiently.,prompt_C,Sentive,"Combines 'senti' (from sentiment) with 'active', evoking intelligence and responsiveness in real-time support.",3.0,848,152
niche/technical,AI-driven customer support intelligence that applies NLP sentiment analysis intent classification and prioritization to inbound emails so teams can respond more efficiently.,prompt_C,Inquisi,"Derived from 'inquiry', suggests proactivity and insight; resonates with the idea of understanding customer needs.",3.0,848,152
niche/technical,Providing field-programmable gate array (FPGA) acceleration services for high-frequency algorithmic trading platforms.,prompt_C,TradePulse,"Evokes a rhythmic, fast-paced monitoring of trading systems, suggesting speed and responsiveness.",5.0,844,170
niche/technical,Providing field-programmable gate array (FPGA) acceleration services for high-frequency algorithmic trading platforms.,prompt_C,PulseEdge,"Conveys a sense of being at the cutting edge of trading technology, suggesting both real-time data ('pulse') and advanced techniques ('edge').",5.0,844,170
niche/technical,B2B SaaS platform providing real-time ETL pipelines for enterprise data warehousing with Kubernetes orchestration,prompt_C,Syncora,"Invented name suggesting synchronization and innovation, ideal for a platform that orchestrates data pipelines.",5.0,844,160
niche/technical,B2B SaaS platform providing real-time ETL pipelines for enterprise data warehousing with Kubernetes orchestration,prompt_C,DataPulse,"Evokes the rhythm and immediacy of real-time data, suggesting a heartbeat for enterprise data architecture.",5.0,844,160
niche/technical,B2B SaaS platform providing real-time ETL pipelines for enterprise data warehousing with Kubernetes orchestration,prompt_C,ETLFlow,"Uses a straightforward yet evocative compound, suggesting seamless movement of data, ideal for a data processing platform.",5.0,844,160
niche/technical,B2B SaaS platform providing real-time ETL pipelines for enterprise data warehousing with Kubernetes orchestration,prompt_C,KubeStream,"Combines 'Kube' for Kubernetes and 'stream' to imply continuous data flow, essential for real-time ETL processes.",5.0,844,160
niche/technical,A biotech firm specializing in CRISPR gene-editing therapies for rare hereditary diseases.,prompt_C,Vitalance,Combines 'Vital' with 'Balance' to suggest restoring life and health through cutting-edge therapeutics.,6.0,840,162
niche/technical,A biotech firm specializing in CRISPR gene-editing therapies for rare hereditary diseases.,prompt_C,CrisprMuse,Fuses 'Crispr' with 'Muse' to imply inspiration and innovation in gene editing.,6.0,840,162
niche/technical,A biotech firm specializing in CRISPR gene-editing therapies for rare hereditary diseases.,prompt_C,Hereditify,Merges 'Hereditary' with a verb form to convey the idea of transforming hereditary conditions.,6.0,840,162
niche/technical,A biotech firm specializing in CRISPR gene-editing therapies for rare hereditary diseases.,prompt_C,Editrix,"An invented name blending 'Editing' with a suffix that suggests a feminine touch, implying care and precision in gene editing.",6.0,840,162
niche/technical,A biotech firm specializing in CRISPR gene-editing therapies for rare hereditary diseases.,prompt_C,GeneVista,Combines 'Gene' with 'Vista' to evoke a clear and expansive view into the future of gene therapy.,6.0,840,162
niche/technical,AI-driven customer support intelligence that applies NLP sentiment analysis intent classification and prioritization to inbound emails so teams can respond more efficiently.,prompt_C,Efficentrix,"Merges 'efficient' with a Latin suffix, hinting at optimal performance in handling customer support.",3.0,848,152
niche/technical,B2B SaaS platform providing real-time ETL pipelines for enterprise data warehousing with Kubernetes orchestration,prompt_C,Transformix,"A dynamic twist on 'transform,' implying strong capabilities in data transformation while keeping a tech-savvy feel.",5.0,844,160
niche/technical,AI-driven customer support intelligence that applies NLP sentiment analysis intent classification and prioritization to inbound emails so teams can respond more efficiently.,prompt_C,Prioriti,"Emotionally emphasizes prioritization in support requests, creating a focused and organized support experience.",3.0,848,152
